ENSEMBL	DESCRIPTION	FABP_1	FABP_2	FABP_4	FABP_5	G12D_1	G12D_2	G12D_3	G12D_4
ENSMUSG00000036940	NA	1349.36	1244.74	1354.54	1371.53	1405.03	1370.31	1317.39	1336.41
ENSMUSG00000028861	NA	969.685	1236.93	1556.52	1061.42	1806.52	1734.77	1792.35	1868.41
ENSMUSG00000029833	NA	713.687	820.9	730.89	773.306	706.513	715.311	701.572	807.02
ENSMUSG00000068290	NA	715.533	926.446	896.532	580.673	722.872	710.979	764.658	792.274
ENSMUSG00000043099	NA	238.425	277.654	251.059	236.486	172.519	194.166	169.153	187.789
ENSMUSG00000005625	NA	2821.85	2816.02	2689.09	3107.36	2802.47	2514.09	2537.75	2745.62
ENSMUSG00000054999	NA	329.783	260.225	425.09	303.662	571.548	775.356	788.571	533.961
ENSMUSG00000046756	NA	979.79	863.197	865.45	1055.46	828.562	898.877	783.101	946.318
ENSMUSG00000035960	NA	1276.7	1440.65	1271.55	1345.54	1514.79	1669.79	1411.3	1644.74
ENSMUSG00000024792	NA	46.9966	52.7582	62.8743	53.1372	40.6693	42.1781	57.4322	68.4208
ENSMUSG00000036270	NA	1996.02	1870.26	1999.96	1801.52	1791.22	2036.04	1887.85	1671.13
ENSMUSG00000005667	NA	901.711	530.722	643.335	766.189	476.093	381.764	383.923	435.64
ENSMUSG00000029376	NA	675.834	588.161	615.885	706.261	649.52	683.363	648.268	683.955
ENSMUSG00000031461	NA	106.605	3513.57	581.15	1380.11	1985.76	243.66	3286.97	332.035
ENSMUSG00000030533	NA	3197.89	3145.75	3357.94	3278.5	3299.96	3292.85	3134.16	3125.54
ENSMUSG00000026812	NA	664.846	544.069	569.869	534.152	807.829	826.938	722.867	691.217
ENSMUSG00000042647	NA	265.993	106.283	242.123	273.042	415.828	368.038	388.899	395.92
ENSMUSG00000029456	NA	692.875	686.751	679.106	679.599	804.196	781.617	784.213	799.181
ENSMUSG00000026353	NA	789.112	925.053	875.837	664.522	675.349	762.871	715.812	793.428
ENSMUSG00000024687	NA	3319.01	3378.85	3370.93	3214.2	3807.44	3873.18	3842.86	4056.55
ENSMUSG00000031217	NA	725.834	567.912	743.5	852.198	1089.76	1095.04	1072.38	1089.21
ENSMUSG00000027620	NA	3291.81	4039.39	3709.1	3018.2	3867.1	3659.34	3653.97	4119.43
ENSMUSG00000053768	NA	3665.26	4960.33	4161.27	3921.62	3310.47	3727.74	4074.33	4049.5
ENSMUSG00000029726	NA	1165.69	1016.68	1177.26	1107.21	1211.01	1185.94	1119.28	1151.13
ENSMUSG00000071644	NA	6359.34	9125.88	6343.05	5402.5	5738.39	6071.34	6166.83	6204.26
ENSMUSG00000030315	NA	494.072	242.764	364.31	610.057	293.569	316.211	241.459	275.475
ENSMUSG00000022558	NA	175.311	163.398	193.181	182.101	172.827	176.528	182.176	181.186
ENSMUSG00000015176	NA	4747.99	4959.54	4708.85	5591.92	2711.42	3440.1	2407.33	3179.97
ENSMUSG00000063200	NA	344.289	240.859	304.066	359.748	197.822	195.947	172.527	199.342
ENSMUSG00000040565	NA	754.316	783.847	808.157	703.731	722.912	811.489	722.693	754.262
ENSMUSG00000115338	NA	4801.86	4706.08	4708.53	3819.75	6418.18	5031.6	5438.78	5609.55
ENSMUSG00000068417	NA	225.676	190.434	195.721	122.104	671.445	275.733	227.076	528.66
ENSMUSG00000031393	NA	1539.14	1697.07	1435.3	1634.74	1205.61	1280.84	908.232	1431.31
ENSMUSG00000044433	NA	1945.48	1583.52	1934.57	2007.8	2126.73	2005.85	2167.64	2071.71
ENSMUSG00000033323	NA	1766.66	1908.01	1816.37	1734.42	1806.91	2008	1854.78	1870.98
ENSMUSG00000047945	NA	727.561	726.404	616.306	773.359	912.886	936.163	1050.2	1033.71
ENSMUSG00000037514	NA	126.105	109.619	110.91	110.627	104.758	99.4065	121.211	112.631
ENSMUSG00000033610	NA	912.688	963.957	957.213	1100.02	976.029	922.434	958.366	951.634
ENSMUSG00000062127	NA	2305.15	2144.47	2265.49	2572.72	2405.99	2238.17	2386.58	2407.55
ENSMUSG00000018846	NA	158.536	138.383	167.855	150.608	164.6	148.265	160.924	137.121
ENSMUSG00000036104	NA	1827.38	1932.46	1965.26	1614.11	2127.96	2147.97	2142.15	2114.21
ENSMUSG00000025036	NA	362.446	289.717	360.147	322.898	247.977	269.401	238.301	267.093
ENSMUSG00000021823	NA	27650.3	22630.4	26639.3	30109.5	28257.9	27678.7	25720.2	23779.6
ENSMUSG00000054717	NA	4537.61	7284.55	4857.43	4534.54	4137.48	4391.11	4636.06	4226.92
ENSMUSG00000066551	NA	7923.12	12642.3	8758.61	7976.43	8525.9	8795.58	9258.19	9776.5
ENSMUSG00000035944	NA	2474.1	2551.96	2637.44	2603.92	3597.33	3399.55	3950.67	3269.12
ENSMUSG00000027406	NA	5074.86	5388.52	5362.5	5345.15	4905.52	5289.41	5017.07	5200.38
ENSMUSG00000002010	NA	2413.95	2373.21	2656.01	2575.08	2371.55	2620.5	2410.08	2662.5
ENSMUSG00000029440	NA	1664.54	2312.37	1582.93	2019.02	1376.31	1367.7	1452.88	1579.9
ENSMUSG00000020111	NA	1411.51	1264.28	1534.7	1521.71	2276.07	1909.14	2217.92	1857.57
ENSMUSG00000039357	NA	84.4834	69.7818	78.3202	86.5728	82.6443	76.5339	62.9761	82.7441
ENSMUSG00000027193	NA	4447.11	4377.59	4474.42	4495.73	4448.83	4302.65	4094.14	4170.68
ENSMUSG00000020937	NA	108.45	83.5575	96.0616	72.7128	172.891	99.4615	132.652	122.268
ENSMUSG00000024067	NA	250.398	117.196	173.4	260.016	175.642	159.125	164.612	159.081
ENSMUSG00000016664	NA	3614.83	2921.33	3179.35	3462.6	4295.27	3748.24	4495.63	3610.53
ENSMUSG00000048126	NA	110.428	52.8561	106.867	108.158	140.37	139	110.005	60.2707
ENSMUSG00000008892	NA	1842	2279.79	2542.32	1822.16	1597.09	2233.93	1706.71	2260.07
ENSMUSG00000024780	NA	296.4	209.383	255.858	282.344	323.661	293.442	332.733	307.072
ENSMUSG00000021771	NA	3731.53	5206.77	5233.21	3525.25	2989.78	4266.12	3502.06	4926.71
ENSMUSG00000020402	NA	3917.04	5129.86	5379.14	3815.87	3167.66	4560.43	3656.55	5294.69
ENSMUSG00000020167	NA	79.2407	55.3347	67.1875	95.9742	49.0931	53.8181	32.5617	47.3099
ENSMUSG00000015748	NA	2379.43	2445.52	2329.55	2332.12	2577.88	2377.99	2383.1	2454.66
ENSMUSG00000036309	NA	2312.51	2530.14	2440.03	2015.48	2323.58	1930.35	2389.1	2227.94
ENSMUSG00000042557	NA	2943.73	2835.03	3016.54	2844.09	3005.79	3263.08	2949.63	2895.02
ENSMUSG00000062604	NA	262.143	298.468	300.737	236.638	277.947	282.662	321.388	295.866
ENSMUSG00000004865	NA	470.471	743.326	615.227	478.337	451.967	566.146	523.253	626.487
ENSMUSG00000030826	NA	2963.12	2708.21	2754.43	2423.13	2201.3	2481.04	2023.05	1927.03
ENSMUSG00000025153	NA	17461.1	17479.5	17938.7	16414.4	17290.7	17057.6	17065.5	16070.4
ENSMUSG00000019866	NA	2833.19	3126.32	3245.56	3025.35	3679.56	3601.12	4027.17	3758.44
ENSMUSG00000038497	NA	1025.08	927.681	1151.72	1119.8	836.393	939.086	846.569	930.206
ENSMUSG00000030779	NA	2670.18	2626.74	2497.77	2635.91	2667.88	2497.95	2566.91	2716.6
ENSMUSG00000027508	NA	648.563	656.278	628.782	685.67	498.122	466.107	506.515	548.712
ENSMUSG00000021236	NA	1617.45	1485.39	1863.05	1518	1865.74	1941.78	1820.12	1697.52
ENSMUSG00000026879	NA	9935.17	13297.1	10999.5	10558.1	13407	12647.6	14950.1	12490.1
ENSMUSG00000020623	NA	1324.69	1718.72	1500.83	1322.42	1264.23	1434.68	1394.32	1352.71
ENSMUSG00000018932	NA	801.524	789.113	902.271	879.658	1123.4	1114.78	1165.03	1044.86
ENSMUSG00000021824	NA	1163.65	1002.43	1132.68	1077.94	1153.69	1269.41	1158.09	1131.79
ENSMUSG00000031539	NA	125.922	116.985	107.076	96.483	107.568	105.943	86.2403	86.7186
ENSMUSG00000023861	NA	236.388	233.642	274.328	247.027	183.292	206.219	181.843	233.943
ENSMUSG00000021144	NA	948.23	968.481	945.508	920.056	931.53	921.782	882.394	986.426
ENSMUSG00000055817	NA	555.74	508.581	588.047	566.833	559.334	592.999	552.868	627.005
ENSMUSG00000055817	NA	263.017	219.744	253.559	211.939	199.191	197.135	209.956	203.486
ENSMUSG00000071646	NA	1979.52	2282.79	2450.25	2087.02	1992.94	2179.62	1871.77	2213.63
ENSMUSG00000015766	NA	2002.62	1994.43	2384.52	2520.66	2519.73	2429.74	2717.18	2575.8
ENSMUSG00000059323	NA	40.4343	53.3728	59.4055	39.448	43.0928	47.67	42.9894	36.4226
ENSMUSG00000039367	NA	1723.08	1805.1	1865.19	1650.55	1575.6	1668.81	1560.05	1624.89
ENSMUSG00000032127	NA	1224.64	972.926	1141.82	1247.01	1329.63	1203.99	1234.48	1038.27
ENSMUSG00000032085	NA	20991.5	26389.3	22518.8	21552	16075.1	16271	11105.8	10383.8
ENSMUSG00000026547	NA	10342.4	10680	9504.98	11742.2	9945.97	9229.5	9931.72	9351.59
ENSMUSG00000022658	NA	779.709	661.4	658.093	918.48	649.318	681.365	608.887	679.305
ENSMUSG00000036992	NA	79.2698	52.3439	65.198	68.2763	76.2742	62.2059	57.792	69.1791
ENSMUSG00000025648	NA	658.459	564.172	677.985	649.737	687.072	631.056	638.506	602.915
ENSMUSG00000026409	NA	1842.42	1764.77	2042.21	1723.66	1936.23	1943.93	2147.34	2119.8
ENSMUSG00000026773	NA	1522.01	1386.18	1616.54	1602.21	1602.09	1564.36	1714.73	1572.38
ENSMUSG00000044982	NA	258.71	360.591	307.278	280.366	224.395	251.083	210.115	346.42
ENSMUSG00000041840	NA	39.8026	22.6996	27.0218	33.7277	37.3998	45.9347	36.6208	33.1197
